"","Manager","Manager Position","Person-First Name","Person-LastName","Role- Job Title","Department","Start Date","Summary","Badge","Badge Type","Badge Period","Badge Reason","Badge Granted By","Recognitions","Photo","Vacant","Accent","Nivel","Antigüedad","Reportes directos","Total a cargo"
"1","","","Carlos","Mendoza","PRUEBA DE CACHE EN PAGES","Dirección General","2018-02-05","Define la estrategia global de la compañía, encabeza al comité ejecutivo y responde ante el consejo de administración.","","","","","","","photos/carlos-mendoza.png","No","#1e3c72","1","8 años, 7 meses","10","103"
"2","Carlos Mendoza","Chief Executive Officer","Magdalena","Flores","Asistente Ejecutivo","Dirección General","2021-09-13","Coordina la agenda, juntas y viajes de la Dirección General, y da seguimiento a los acuerdos del comité ejecutivo.","","","","","","","","No","#1e3c72","2","5 años","0","0"
"3","Carlos Mendoza","Chief Executive Officer","Dr. Santiago","Rivera","Chief Technology Officer","Tecnología","2019-06-03","Lidera la estrategia tecnológica, la arquitectura de las plataformas y los equipos de ingeniería, infraestructura y QA.","","","","","","","photos/santiago-rivera.png","No","#e21c1c","2","7 años, 3 meses","4","18"
"4","Dr. Santiago Rivera","Chief Technology Officer","Alejandro","Gómez","VP Engineering","Tecnología","2019-07-04","Dirige a los equipos de desarrollo y la calidad de las entregas de producto.","","","","","","","","No","#e21c1c","3","7 años, 2 meses","3","5"
"5","Alejandro Gómez","VP Engineering","Pedro","Ruiz","Engineering Lead Frontend","Tecnología","2022-05-25","Desarrolla las interfaces de usuario del producto.","","","","","","","","No","","4","4 años, 3 meses","1","2"
"6","Pedro Ruiz","Engineering Lead Frontend","Gabriel","Núñez","Becario de Ingeniería","Tecnología","2025-03-20","Apoya al equipo en tareas de desarrollo mientras completa su formación.","","","","","","","","No","","5","1 año, 5 meses","0","0"
"7","Alejandro Gómez","VP Engineering","Sofia","Chen","Senior Developer Frontend","Tecnología","2023-08-07","Desarrolla interfaces del producto en React y da mantenimiento a la librería de componentes del equipo de frontend.","AI Champion","ai","","","","","","No","","4","3 años, 1 mes","0","0"
"8","Alejandro Gómez","VP Engineering","Marco","López","Frontend Specialist","Tecnología","2022-07-04","Desarrolla las interfaces de usuario del producto.","","","","","","","","No","","4","4 años, 2 meses","0","0"
"9","Dr. Santiago Rivera","Chief Technology Officer","Valentina","Soto","VP Backend Services","Tecnología","2019-05-17","Responsable de los servicios backend, APIs y su escalabilidad.","","","","","","","","No","#e21c1c","3","7 años, 3 meses","3","4"
"10","Valentina Soto","VP Backend Services","Lucas","Fuentes","Backend Lead","Tecnología","2024-07-17","Desarrolla y mantiene los servicios y APIs del producto.","","","","","","","","No","","4","2 años, 1 mes","0","0"
"11","Valentina Soto","VP Backend Services","Gabriela","Santos","Senior Backend Engineer","Tecnología","2024-02-09","Desarrolla y mantiene los servicios y APIs del producto.","","","","","","","","No","","4","2 años, 7 meses","0","0"
"12","Valentina Soto","VP Backend Services","Roberto","Campos","API Specialist","Tecnología","2023-10-05","Colabora con su equipo en las actividades del área.","","","","","","","","No","","4","2 años, 11 meses","0","0"
"13","Dr. Santiago Rivera","Chief Technology Officer","Andrés","Castillo","VP Infrastructure","Tecnología","2020-08-24","A cargo de la infraestructura cloud, redes y continuidad operativa.","","","","","","","","No","#e21c1c","3","6 años","3","4"
"14","Andrés Castillo","VP Infrastructure","Valentina","Gómez","DevOps Lead","Tecnología","2024-02-16","Automatiza despliegues y mantiene la infraestructura como código.","","","","","","","","No","","4","2 años, 6 meses","0","0"
